
0 : cwww = 0 , ccw = 0 , cb = 0
1 : cwww = -12 , ccw = -20 , cb = -60
2 : cwww = -12 , ccw = -20 , cb = -30
3 : cwww = -12 , ccw = -20 , cb = 0
4 : cwww = -12 , ccw = -20 , cb = 30
5 : cwww = -12 , ccw = -20 , cb = 60
6 : cwww = -12 , ccw = -10 , cb = -60
7 : cwww = -12 , ccw = -10 , cb = -30
8 : cwww = -12 , ccw = -10 , cb = 0
9 : cwww = -12 , ccw = -10 , cb = 30
10 : cwww = -12 , ccw = -10 , cb = 60
11 : cwww = -12 , ccw = 0 , cb = -60
12 : cwww = -12 , ccw = 0 , cb = -30
13 : cwww = -12 , ccw = 0 , cb = 0
14 : cwww = -12 , ccw = 0 , cb = 30
15 : cwww = -12 , ccw = 0 , cb = 60
16 : cwww = -12 , ccw = 10 , cb = -60
17 : cwww = -12 , ccw = 10 , cb = -30
18 : cwww = -12 , ccw = 10 , cb = 0
19 : cwww = -12 , ccw = 10 , cb = 30
20 : cwww = -12 , ccw = 10 , cb = 60
21 : cwww = -12 , ccw = 20 , cb = -60
22 : cwww = -12 , ccw = 20 , cb = -30
23 : cwww = -12 , ccw = 20 , cb = 0
24 : cwww = -12 , ccw = 20 , cb = 30
25 : cwww = -12 , ccw = 20 , cb = 60
26 : cwww = -6 , ccw = -20 , cb = -60
27 : cwww = -6 , ccw = -20 , cb = -30
28 : cwww = -6 , ccw = -20 , cb = 0
29 : cwww = -6 , ccw = -20 , cb = 30
30 : cwww = -6 , ccw = -20 , cb = 60
31 : cwww = -6 , ccw = -10 , cb = -60
32 : cwww = -6 , ccw = -10 , cb = -30
33 : cwww = -6 , ccw = -10 , cb = 0
34 : cwww = -6 , ccw = -10 , cb = 30
35 : cwww = -6 , ccw = -10 , cb = 60
36 : cwww = -6 , ccw = 0 , cb = -60
37 : cwww = -6 , ccw = 0 , cb = -30
38 : cwww = -6 , ccw = 0 , cb = 0
39 : cwww = -6 , ccw = 0 , cb = 30
40 : cwww = -6 , ccw = 0 , cb = 60
41 : cwww = -6 , ccw = 10 , cb = -60
42 : cwww = -6 , ccw = 10 , cb = -30
43 : cwww = -6 , ccw = 10 , cb = 0
44 : cwww = -6 , ccw = 10 , cb = 30
45 : cwww = -6 , ccw = 10 , cb = 60
46 : cwww = -6 , ccw = 20 , cb = -60
47 : cwww = -6 , ccw = 20 , cb = -30
48 : cwww = -6 , ccw = 20 , cb = 0
49 : cwww = -6 , ccw = 20 , cb = 30
50 : cwww = -6 , ccw = 20 , cb = 60
51 : cwww = 0 , ccw = -20 , cb = -60
52 : cwww = 0 , ccw = -20 , cb = -30
53 : cwww = 0 , ccw = -20 , cb = 0
54 : cwww = 0 , ccw = -20 , cb = 30
55 : cwww = 0 , ccw = -20 , cb = 60
56 : cwww = 0 , ccw = -10 , cb = -60
57 : cwww = 0 , ccw = -10 , cb = -30
58 : cwww = 0 , ccw = -10 , cb = 0
59 : cwww = 0 , ccw = -10 , cb = 30
60 : cwww = 0 , ccw = -10 , cb = 60
61 : cwww = 0 , ccw = 0 , cb = -60
62 : cwww = 0 , ccw = 0 , cb = -30
63 : cwww = 0 , ccw = 0 , cb = 30
64 : cwww = 0 , ccw = 0 , cb = 60
65 : cwww = 0 , ccw = 10 , cb = -60
66 : cwww = 0 , ccw = 10 , cb = -30
67 : cwww = 0 , ccw = 10 , cb = 0
68 : cwww = 0 , ccw = 10 , cb = 30
69 : cwww = 0 , ccw = 10 , cb = 60
70 : cwww = 0 , ccw = 20 , cb = -60
71 : cwww = 0 , ccw = 20 , cb = -30
72 : cwww = 0 , ccw = 20 , cb = 0
73 : cwww = 0 , ccw = 20 , cb = 30
